mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
LS,36,"(8.4669235e-05, 5.1465406e-05)","(0.2123028, 0.23123048)","(0.21230714, 0.23122466)"
LS,38,"(8.4668565e-05, 5.1460855e-05)","(0.2123028, 0.23123048)","(0.2123071, 0.23122466)"
LS,40,"(4.5305744e-05, 5.4093776e-05)","(0.175933, 0.23963244)","(0.17594403, 0.2396365)"
NEB,5,"(5.507833e-05, 4.5848534e-05)","(0.1517513, 0.18256216)","(0.15175103, 0.1825748)"
NEB,10,"(4.7968486e-05, 3.4946675e-05)","(0.15013544, 0.14696746)","(0.15013039, 0.14696829)"
NEB,15,"(6.1132756e-05, 3.6243e-05)","(0.10698501, 0.14646576)","(0.10698209, 0.14645077)"
NEB,20,"(3.877132e-05, 3.6243044e-05)","(0.05345206, 0.14646576)","(0.053449124, 0.14645077)"
NEB,25,"(3.8773138e-05, 3.6244262e-05)","(0.053452056, 0.14646575)","(0.053449124, 0.14645077)"
NEB,30,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
NEB,35,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
NEB,40,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
NEB,45,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
NEB,50,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
NEB,55,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
NEB,60,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
NEB,65,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
NEB,70,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
NEB,75,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
NEB,80,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
NEB,85,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
NEB,90,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
NEB,95,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
NEB,100,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
WS,5,"(7.3796866e-05, 4.1506104e-05)","(0.15943949, 0.14476404)","(0.1594461, 0.1447649)"
WS,10,"(8.434599e-05, 3.5030116e-05)","(0.12437767, 0.09872418)","(0.12437145, 0.09873051)"
WS,15,"(6.877818e-05, 2.2527902e-05)","(0.07387564, 0.07347227)","(0.073871344, 0.07347855)"
WS,20,"(4.5298915e-05, 4.9719984e-05)","(0.04430808, 0.09762632)","(0.044306546, 0.09761018)"
WS,25,"(3.0967265e-05, 1.3449934e-05)","(0.031540576, 0.026083129)","(0.03154098, 0.026082514)"
WS,30,"(3.0319767e-05, 8.918878e-06)","(0.031448554, 0.025676383)","(0.03144994, 0.025682738)"
WS,35,"(2.6069096e-05, 1.12168955e-05)","(0.024218144, 0.029676676)","(0.024219172, 0.029680246)"
WS,40,"(2.902717e-05, 1.1207318e-05)","(0.0350232, 0.017234063)","(0.03502765, 0.017237812)"
WS,45,"(3.143547e-05, 1.019713e-05)","(0.04201351, 0.0076721837)","(0.042012766, 0.0076766987)"
WS,50,"(2.4283725e-05, 6.7713295e-06)","(0.02622704, 0.010693281)","(0.026227025, 0.010691608)"
WS,55,"(2.1518286e-05, 6.7840897e-06)","(0.023424849, 0.007847023)","(0.023424983, 0.007842789)"
WS,60,"(1.928805e-05, 1.6188138e-05)","(0.021809377, 0.010298096)","(0.021810366, 0.010286898)"
WS,65,"(1.4206558e-05, 3.4758903e-06)","(0.016725417, 0.0058507174)","(0.01672658, 0.005848598)"
WS,70,"(1.5359421e-05, 2.009437e-06)","(0.017793002, 0.0032107774)","(0.017793342, 0.0032099504)"
WS,75,"(1.5800715e-05, 6.8203444e-06)","(0.017682085, 0.014159784)","(0.017682275, 0.014155886)"
WS,80,"(1.595764e-05, 5.690545e-06)","(0.017150657, 0.0076139737)","(0.017150471, 0.0076186955)"
WS,85,"(1.52093235e-05, 8.134128e-06)","(0.016708106, 0.005179852)","(0.016708601, 0.0051819715)"
WS,90,"(1.6248716e-05, 5.7812954e-06)","(0.018925317, 0.0061923466)","(0.018926298, 0.006188847)"
WS,95,"(1.637402e-05, 4.135576e-06)","(0.017680313, 0.0032686463)","(0.017680248, 0.0032701558)"
WS,100,"(1.7042059e-05, 4.0268774e-06)","(0.019546738, 0.0042098784)","(0.019546516, 0.0042135795)"
