mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
NS,95,"(1.2498652e-05, 1.20636105e-05)","(0.008682183, 0.0058530476)","(0.008683957, 0.0058501004)"
NS,100,"(1.2461723e-05, 1.0118124e-05)","(0.008676676, 0.0057990737)","(0.008678574, 0.0057984586)"
NAI,5,"(4.6610508e-06, 1.150731e-06)","(0.0032401173, 0.0013671087)","(0.0032412587, 0.0013673225)"
NAI,10,"(8.722673e-06, 0.00016045262)","(0.0039254315, 0.027881155)","(0.0039256993, 0.027859673)"
NAI,15,"(7.546113e-06, 1.3171785e-05)","(0.0029063167, 0.001803047)","(0.0029077812, 0.001811701)"
NAI,20,"(1.0314812e-05, 5.747113e-06)","(0.0063330014, 0.0018183351)","(0.0063360194, 0.0018175605)"
NAI,25,"(9.343894e-06, 9.328779e-05)","(0.0063076653, 0.02292583)","(0.0063090413, 0.022947432)"
NAI,30,"(2.3520788e-05, 1.6587591e-06)","(0.007990647, 0.00073090283)","(0.007991396, 0.0007301426)"
NAI,35,"(1.55752e-05, 0.0003907065)","(0.007250974, 0.38110653)","(0.0072522345, 0.38110697)"
NAI,40,"(1.4329242e-05, 0.00066827156)","(0.0067774756, 0.5291693)","(0.006778097, 0.5292702)"
NAI,45,"(1.5629728e-05, 0.0024582304)","(0.007780372, 2.8132489)","(0.0077826814, 2.8133156)"
NAI,50,"(1.4808282e-05, 0.0016176474)","(0.0043008407, 2.5535228)","(0.004299524, 2.553478)"
NAI,55,"(1.4898767e-05, 0.006851687)","(0.0042166454, 3.5894744)","(0.004215451, 3.5862813)"
NAI,60,"(2.4162464e-05, 0.0048721554)","(0.010516848, 3.6763105)","(0.010532505, 3.677293)"
NAI,65,"(1.4743599e-05, 0.0052302196)","(0.0077906386, 4.811456)","(0.00779484, 4.811822)"
NAI,70,"(1.6969712e-05, 0.003295051)","(0.008069496, 2.6537971)","(0.008077149, 2.6541412)"
NAI,75,"(1.0818674e-05, 0.009981797)","(0.0034562717, 4.419475)","(0.0034608417, 4.417434)"
